E1,F2,E3,E4
F1,F2,G3,D4
F1,F2,F3,E4
C1,B2,B3,C4
E1,E2,E3,E4
F1,F2,E3,E4
E1,E2,E3,E4
E1,F2,F3,E4
E1,F2,E3,E4
E1,E2,E3,E4
E1,E2,E3,D4
E1,F2,E3,E4
E1,E2,E3,E4
E1,E2,E3,E4
E1,F2,E3,E4
E1,E2,E3,D4
E1,E2,E3,D4
E1,E2,F3,E4
F1,F2,F3,E4
D1,F2,E3,E4
F1,E2,E3,E4
E1,E2,E3,E4
D1,E2,E3,E4
D1,D2,D3,D4
C1,C2,C3,D4
B1,C2,C3,C4
D1,D2,D3,D4
D1,D2,D3,C4
D1,E2,E3,D4
E1,E2,E3,E4
E1,F2,D3,D4
D1,D2,D3,D4
F1,E2,E3,E4
C1,D2,D3,D4
E1,E2,E3,E4
C1,C2,C3,C4
B1,C2,C3,C4
D1,E2,D3,D4
C1,C2,B3,C4
B1,B2,B3,B4
E1,F2,F3,D4
D1,C2,C3,D4
F1,F2,F3,E4
B1,B2,B3,B4
D1,E2,E3,D4
D1,E2,E3,E4
E1,E2,E3,E4
E1,E2,E3,E4
E1,E2,E3,E4
F1,F2,F3,E4
E1,E2,E3,E4
E1,F2,E3,E4
E1,E2,E3,E4
E1,E2,E3,E4
F1,F2,F3,E4
D1,E2,F3,E4
C1,C2,C3,D4
E1,F2,E3,E4
D1,C2,C3,D4
D1,D2,D3,D4
D1,E2,E3,E4
D1,D2,D3,E4
E1,E2,E3,E4
E1,F2,E3,F4
D1,E2,D3,E4
D1,C2,C3,C4
B1,B2,C3,C4
E1,E2,E3,E4
E1,E2,E3,D4
E1,E2,E3,E4
D1,D2,D3,E4
D1,D2,E3,E4
C1,B2,B3,D4
D1,D2,C3,D4
C1,C2,C3,C4
F1,F2,F3,E4
D1,E2,D3,E4
E1,E2,E3,E4
E1,E2,E3,E4
D1,E2,E3,D4
D1,C2,C3,D4
E1,E2,E3,E4
E1,E2,E3,E4
E1,D2,E3,D4
E1,E2,E3,F4
C1,C2,C3,D4
F1,F2,F3,E4
C1,C2,D3,D4
C1,C2,C3,C4
C1,D2,D3,C4
B1,B2,A3,B4
C1,C2,B3,D4
E1,E2,D3,E4
B1,B2,B3,B4
B1,B2,C3,C4
D1,D2,E3,E4
B1,B2,A3,B4
C1,C2,C3,C4
E1,E2,E3,E4
D1,E2,E3,E4
C1,C2,B3,D4
B1,B2,B3,C4
B1,B2,A3,B4
B1,B2,B3,C4
B1,B2,B3,B4
B1,B2,B3,D4
E1,D2,E3,E4
F1,F2,G3,E4
C1,B2,B3,C4
D1,D2,D3,D4
C1,C2,C3,C4
E1,D2,D3,E4
E1,D2,D3,E4
C1,D2,D3,E4
B1,B2,A3,B4
C1,C2,C3,B4
A1,A2,A3,A4
B1,B2,B3,C4
